file_name,query
test-real-case-0.wav,"the fire crackles in the wind, creating a rhythmic and soothing sound."
test-real-case-1.wav,the fire is making crackling sounds at home.
test-real-case-2.wav,the wind chimes are making a crisp and sweet sound.
test-real-case-3.wav,the wind chime is ringing continuously.
test-real-case-4.wav,a group of people are talking with each other.
test-real-case-5.wav, some people are speaking on the subway.
test-real-case-6.wav,a cat is meowing amidst the faint sound of bird calls.
test-real-case-7.wav,birds are chirping in the distance.
test-real-case-8.wav,there are faint chattering sounds in the background.
test-real-case-9.wav,"the subway train is moving along the tracks, producing a low rumble."
test-real-case-10.wav,"in the forest, the birds are chirping incessantly."
test-real-case-11.wav,a car is passing by a noisy road.
test-real-case-12.wav,the woman is speaking in a distance.
test-real-case-13.wav,the woman is talking with others.
test-real-case-14.wav,the raindrops are dribbling down onto the ground.
test-real-case-15.wav,"the raindrops are falling to the ground, emitting splattering sounds. "
test-real-case-16.wav,the crowd is cheering and giving applause.
test-real-case-17.wav,"the crowd is cheering, yelling, whistling, and applauding enthusiastically."
test-real-case-18.wav,there are bird vocalizations in the wild.
test-real-case-19.wav,lots of birds are chirping together in the forest.
test-real-case-20.wav,thunder is raging and rumbling from afar.
test-real-case-21.wav,the rain is falling to the surface.
test-real-case-22.wav,the crowd is clapping their hands to give congratulations in a big room.
test-real-case-23.wav,the crowd is clapping their hands to give congratulations.
test-real-case-24.wav,people are clapping while talking to each other.
test-real-case-25.wav,people are clapping their hands intermittently.
test-real-case-26.wav,clear footsteps keep coming from afar.
test-real-case-27.wav,a lot of insects are chirping and a dog is barking.
test-real-case-28.wav,a cuckoo is singing happily in the forest.
test-real-case-29.wav,a cuckoo is singing loudly in the forest.
test-real-case-30.wav,"the keys are clanging together, producing a jangling sound."
test-real-case-31.wav,"the keys are colliding with each other, creating a jangling sound."
test-real-case-32.wav,roosters are calling continuously in the gentle breeze.
test-real-case-33.wav,roosters are calling continously in the wind.
test-real-case-34.wav,"in a noisy environment, the birds are chirping incessantly."
test-real-case-35.wav,"in the forest, the birds are chirping incessantly. "
test-real-case-36.wav,seagulls are squawking above the water.
test-real-case-37.wav,some seagulls are calling above the water.
test-real-case-38.wav,many birds are chirping joyfully.
test-real-case-39.wav,lots of birds are chirping in the wild.
test-real-case-40.wav,someone is loading a gun.
test-real-case-41.wav,someone is loading the gun.
test-real-case-42.wav,the fireworks are soaring into the sky and exploding.
test-real-case-43.wav,the fireworks are exploding far away.
test-real-case-44.wav,"the crowd is chanting and yelling, whose sound is becoming louder and louder."
test-real-case-45.wav,a bunch of people are cheering in unison.
test-real-case-46.wav,there is a child crying and shouting.
test-real-case-47.wav,a little kid is screaming and crying.
test-real-case-48.wav,"from time to time, birds are chirping in the slightly noisy environment."
test-real-case-49.wav,"in the forest, the birds are chirping incessantly. "
test-real-case-50.wav,the water is flowing in the stream with a dribbling sound.
test-real-case-51.wav,the water is flowing and gurgling in the stream.
test-real-case-52.wav,the waves are churning incessantly in the ocean.
test-real-case-53.wav,the waves are surging in the ocean.
test-real-case-54.wav,"someone is beating the drum, making a wonderful sound."
test-real-case-55.wav,someone is playing the drum to make rhythmic and dynamic sounds.
test-real-case-56.wav,"the engine begins to work, emitting a buzzing sound."
test-real-case-57.wav,a group of birds are chirping in the distance.
test-real-case-58.wav,the waves are crashing against the shore.
test-real-case-59.wav,the waves are surfing over the sea with a splashing sound.
test-real-case-60.wav,"someone is walking, whose footsteps blend with the roadway noise."
test-real-case-61.wav,someone is walking in the roadway noise.
test-real-case-62.wav,"the fire crackles in the wind, creating a rhythmic and soothing sound."
test-real-case-63.wav,the constant sound of the fire burning could be heard.
test-real-case-64.wav,waves are surging in the ocean with a splashing sound.
test-real-case-65.wav,the waves are crashing against the shore.
test-real-case-66.wav,a group of people are cheering.
test-real-case-67.wav,a group of people are cheering loudly and enthusiastically.
test-real-case-68.wav,someone is beating the drum continuously.
test-real-case-69.wav,someone is playing drum kit to make rhythmic and dynamic sounds.
test-real-case-70.wav,a dog is barking in the distance.
test-real-case-71.wav,the waves are beating against the shore.
test-real-case-72.wav,"with the blowing of wind, the wind chimes are making a crisp and sweet sound."
test-real-case-73.wav,the wind chime is ringing with a jingling sound as the wind blows.
test-real-case-74.wav,"as the two women chat, their silverware clatters together."
test-real-case-75.wav,a female is speaking and the cutlery is clanging.
test-real-case-76.wav,the train horn is sounding a honk sound.
test-real-case-77.wav,someone is honking the train horn to make a long blast.
test-real-case-78.wav,the bicycle bell is ringing and echoing.
test-real-case-79.wav,the bike's bell is making a crisp sound.
test-real-case-80.wav,"in the forest, the birds are chirping incessantly."
test-real-case-81.wav,lots of birds are chirping in the wild.
test-real-case-82.wav,"the crickets in the grass are making a constant buzzing sound, adding to the evening's natural harmony."
